publicId,name,displayName,category,description,detailUrl,detailSuccess,hasContent,contentChars,referencesCount
"ULSnRCRoLL","ip-design","IP设计专家","","帮助设计师快速完成品牌 IP、潮玩 IP、文旅/城市 IP、已有 IP 应用延展的全链路设计。","https://d.design/api/agent/v1/skills/ULSnRCRoLL","true","true","13064","19"
"6EXlLwb8X2","ui-spec-generator","页面名称特征_文档生成专家","设计分析","接收用户上传的至少3张同一页面类型的 App/Web 整页截图（如来自不同平台的首页、PDP、购物车、订单列表等），结合用户提供的页面标准中文名与所属场域，通过多图交叉对比分析，生成两份独立 Markdown 文档：①详细识别特征文档（模块一~六，供主 Skill Stage 2-B 深度验证消费）②精简粘贴内容文档（枚举卡片，粘贴到枚举手册）。触发关键词：生成页面特征文档、页面识别规范、page spec、首页特征、PDP特征、购物车页特征、订单页特征。触发边界：用户上传多张同类整页截图并明确告知页面名称，需要生成结构化特征文档；不适用于容器级打标分析（请使用 container-spec-generator）、单图视觉评审或原型设计。","https://d.design/api/agent/v1/skills/6EXlLwb8X2","true","true","5532","2"
"AKiCWQuLaY","page-recognition","打标专家_页面维度","设计打标","高级 UI/UX 页面分析专家。对单张或批量 UI 页面截图进行深度综合打标，输出页面名称（含场域）、容器内容名称、基础状态、附加功能、阶段状态、页面布局六大维度标签 + 离散置信度 + 双格式审计报告（JSON + HTML）。基于两阶段思维链（A 变体· Stage 2-A 索引粗筛 + Stage 2-B 深度文档强同步复核）消费枚举手册与 Skill 包内独立目录的详细识别特征文档。","https://d.design/api/agent/v1/skills/AKiCWQuLaY","true","true","13888","15"
"wDefj9qO8d","html-builder-v3","小应用生成器v3","","当用户要生成html应用，以及画布插件时，使用这个技能。","https://d.design/api/agent/v1/skills/wDefj9qO8d","true","true","15957","8"
"rq8RIPFUnD","alibaba-party-brand-guide","阿里巴巴集团党委品牌规范","品牌设计","当用户需要参考阿里巴巴集团党委的品牌规范进行设计时使用此技能。包含品牌色彩、字体、IP 形象（红豆）、排版、标识使用规则、视觉风格、IP 海报、周边物料等完整规范，适用于所有与阿里巴巴集团党委品牌相关的设计物料制作。触发关键词：党委品牌、红豆 IP、党建设计、品牌规范、党委物料、IP 海报、周边设计。不触发场景：与阿里巴巴集团党委无关的通用设计需求。","https://d.design/api/agent/v1/skills/rq8RIPFUnD","true","true","5576","3"
"hwM68xjlyj","amazon-product-image-set","亚马逊套图设计专家","电商设计","面向亚马逊跨境电商卖家和设计师，提供从策略分析到逐张图片执行的完整套图设计服务。当用户提到「亚马逊套图」「亚马逊图片」「listing 图片」「主图/细节图/场景图/A+ 图」「跨境电商产品图」「亚马逊图片合规」「套图文案」「套图 checklist」「亚马逊产品图设计」等关键词时触发。触发边界：仅限亚马逊平台套图设计场景；Shopify 独立站、Lazada、Shopee 等其他平台不触发；纯 Logo/VI/包装结构设计不触发。","https://d.design/api/agent/v1/skills/hwM68xjlyj","true","true","2112","1"
"8v5nRqXihq","banner-expand-dxc1","特殊banner板式设计(dxc)","设计","当用户希望生成一张banner时，启用此技能","https://d.design/api/agent/v1/skills/8v5nRqXihq","true","true","1650","0"
"Xa0EmZ74TP","qwen-poster-design","千问品牌规范专家","","当用户提到""海报""“logo”“千问logo”""千问海报""""品牌海报""""做海报""""生成海报""""设计海报""时，调用此技能。该技能指导如何从千问品牌资产库中选取背景素材（Dark/Mixed/Light弥散背景）和Logo（含反白版），按照千问品牌规范的1/6网格系统、色彩体系、字体规范完成海报的排版与视觉组合。","https://d.design/api/agent/v1/skills/Xa0EmZ74TP","true","true","18220","0"
"9Sci8SxRg8","logo-quick-gen","Logo 快速生成","设计","以参考图风格分析为核心驱动，1-2 轮对话快速生成 Logo 图片方案。当用户说「快速做个 Logo」「帮我生成 Logo」「照这个风格做个 Logo」「给我出几个 Logo 方案」「Logo 快速出图」时使用。若用户需要完整品牌策略文档、SVG 代码输出或多轮深度迭代设计，不使用本 Skill，应转交专业 Logo 设计 Skill。","https://d.design/api/agent/v1/skills/9Sci8SxRg8","true","true","2203","2"
"rCl16gbbe8","pop-toy-ip-design","潮玩IP设计专家","","帮助设计师进行专业的、有效的工作流引导，从潮玩IP故事塑形、骨架设计、制作生产工艺规划、盲盒等应用拓展的全链路协助，实现设计师快速、高品质的潮玩IP设计提案。","https://d.design/api/agent/v1/skills/rCl16gbbe8","true","true","11278","6"
"ry8udHibTH","eurolocal-skills","意大利banner","","但用户需要制作banner时，启用此skill","https://d.design/api/agent/v1/skills/ry8udHibTH","true","true","1409","0"
"YOV0ySsFBU","world-cup-ai-playbook","2026世界杯AI创意专家","","用户仅需提供人物或商品图片及基础需求，此技能将围绕2026年世界杯主题匹配创意玩法，策划并生成统一视觉风格的AI图片、电商套图及社媒海报。","https://d.design/api/agent/v1/skills/YOV0ySsFBU","true","true","6074","56"
"DZS9hMxH96","fashion-kv-generator","服饰kv/banner-G","设计","当用户需要生成服装行业banner或kv时触发。","https://d.design/api/agent/v1/skills/DZS9hMxH96","true","true","3200","0"
"fiAK5tjliw","banner-preset-templates","banner预设模板","","当用户在一键拓版插件中点击预设版后，启用此skill","https://d.design/api/agent/v1/skills/fiAK5tjliw","true","true","234","1"
"CpYN45StTs","style-image","风格定稿","设计","当用户需要使用Midjourney创作初始的风格图像时，启用此技能","https://d.design/api/agent/v1/skills/CpYN45StTs","true","true","1739","0"
"Jhte6oq9KJ","banner-generator","主题场景Banner设计","设计","Generates commercial product banner images with dramatic lighting, gradient backgrounds, and text-safe composition. Use when the user wants to create banner images, product promotional graphics, e-commerce hero images, or marketing visuals for any product category.","https://d.design/api/agent/v1/skills/Jhte6oq9KJ","true","true","3258","0"
"xKuKO4al3l","d-band-studio","金牌音乐制作人","音乐创作","专业级音乐创作与A&R赏析引擎，输出A/B双版本+5维专业评分+横向对比+推荐结论。当用户需要做BGM、写歌、配乐、创作音乐、评估歌曲质量、提到Suno/Udio类音乐生成需求时使用。不内嵌人设，由上层Agent包装。","https://d.design/api/agent/v1/skills/xKuKO4al3l","true","true","13642","3"
"1frzz7l4kf","product-video-prompt","商品视频Prompt专家","","当用户上传商品图片并提供商品标题，需要自动完成「物理运动分析 → 视频脚本 → 视频Prompt生成」完整链路时触发。触发关键词：视频脚本、商品展示视频、生成视频prompt、视频prompt、商品视频prompt。不适用于：纯文案创作、静态图片生成、无商品图片的场景。注意：本 Skill 只输出视频 Prompt 文本，不调用视频生成工具。","https://d.design/api/agent/v1/skills/1frzz7l4kf","true","true","7507","10"
"L2Ao70rSho","promo-design-diagnosis","大促营销设计需求诊断大师","设计需求分析","当用户提供模糊的大促营销需求、电商活动 Brief、微信聊天记录或初步创意想法时，启动此技能。  核心功能： 1. 扮演资深营销设计策略专家，对输入的需求进行完整性诊断。 2. 评估 Brief 完整度（0-100分），识别缺失的关键信息（如人群、机制、卖点）。 3. 输出必须追问客户的问题清单，挖掘隐藏风险。 4. 将混乱的需求转化为结构化的诊断报告，判断是否可进入创意阶段。  注意：本技能仅负责需求分析与诊断，不直接生成视觉设计图或最终创意方案。 ","https://d.design/api/agent/v1/skills/L2Ao70rSho","true","true","3494","0"
"dsQF43cJvd","newscard","NewsCard - INS 风格图转 HTML","电商设计","当用户需要将 INS 图片转为 HTML、分析图片风格 JSON、生成 NewsCard 风格内容、上传图片进行风格解析、图转 HTML、封面图生成时激活此技能。第三步封面图必须保持参考图语言一致、同类目换不同商品、重写品牌故事，触发关键词：「NewsCard」「INS 图转 HTML」「风格分析」「图片转详情页」「封面图生成」「Card 转化」。","https://d.design/api/agent/v1/skills/dsQF43cJvd","true","true","5092","0"
"mU8bWtJnQk","lyrics-skill-1","歌词文学助手","","D-Band的歌词写手","https://d.design/api/agent/v1/skills/mU8bWtJnQk","true","true","714","0"
"Y08gPw2mXC","html-builder-v2","小应用生成器v2","","当用户要生成html应用，以及画布插件时，使用这个技能。","https://d.design/api/agent/v1/skills/Y08gPw2mXC","true","true","23614","7"
"YtHJnGkOq9","dband","DBand","","AI 音乐制作 Skill。   ","https://d.design/api/agent/v1/skills/YtHJnGkOq9","true","true","2082","0"
